obj_pt,obj_eta,obj_phi,obj_e,sum_pt,n_tracks,pt1_over_ptobj,pt2_over_ptobj,dr1,dr2,ntrk_r0_0p05,sumpt_r0_0p05,ntrk_r0p05_0p10,sumpt_r0p05_0p10,ntrk_r0p10_0p20,sumpt_r0p10_0p20,ntrk_r0p20_iso,sumpt_r0p20_iso,max_pt,mean_dr,ptw_mean_dr,top2_sumpt_frac,n_tracks_core,sum_pt_core
21.1209,0.0971128,0.0252639,21.6284,4.222986,4.0,0.054591898,0.053639285,0.09564585,0.14542349,0.0,0.0,2.0,2.137429,2.0,2.085557,0.0,0.0,1.15303,0.11301526,0.11327023,0.54130894,0.0,0.0
20.8439,0.62551,2.23129,25.3844,2.027914,2.0,0.052137077,0.04515345,0.15681963,0.16119288,0.0,0.0,0.0,0.0,2.0,2.027914,0.0,0.0,1.08674,0.15900625,0.1588493,1.0,0.0,0.0
20.6232,1.77626,-0.661658,62.8082,6.236828,3.0,0.13120273,0.12606579,0.19879875,0.16508739,0.0,0.0,0.0,0.0,3.0,6.236828,0.0,0.0,2.70582,0.16057414,0.17265855,0.85070485,0.0,0.0
67.6454,2.11874,-0.192365,285.642,3.572766,2.0,0.03921893,0.01359717,0.09809617,0.16316387,0.0,0.0,1.0,2.65298,1.0,0.919786,0.0,0.0,2.65298,0.13063002,0.11484744,1.0,0.0,0.0
67.1255,0.385474,-0.147929,72.9869,4.52909,3.0,0.036407772,0.01596666,0.10230842,0.10362231,0.0,0.0,0.0,0.0,3.0,4.52909,0.0,0.0,2.44389,0.12032078,0.114416696,0.7762398,0.0,0.0
66.1809,-0.564429,-3.12413,77.6446,8.66802,3.0,0.085942164,0.026515203,0.19431946,0.17774071,0.0,0.0,1.0,1.22549,2.0,7.44253,0.0,0.0,5.68773,0.14150776,0.17090742,0.8586194,0.0,0.0
63.5284,2.12023,1.28012,268.609,6.573823,5.0,0.03676057,0.017601734,0.1408635,0.08183661,0.0,0.0,1.0,1.11821,4.0,5.455613,0.0,0.0,2.33534,0.14174275,0.140758,0.5253488,0.0,0.0
50.4391,0.712739,-0.868684,64.2157,2.333521,2.0,0.02713966,0.019124469,0.11182761,0.1973749,0.0,0.0,0.0,0.0,2.0,2.333521,0.0,0.0,1.3689,0.15460126,0.1471908,1.0,0.0,0.0
44.7656,0.11815,-2.43402,45.5989,6.004671,4.0,0.06234229,0.026133012,0.11779085,0.1393181,1.0,1.05817,0.0,0.0,3.0,4.946501,0.0,0.0,2.79079,0.10455134,0.10850782,0.65959483,1.0,1.05817
78.0145,-0.35811,2.64286,83.8683,7.53432,5.0,0.025793154,0.022839857,0.15621309,0.10816671,0.0,0.0,0.0,0.0,5.0,7.53432,0.0,0.0,2.01224,0.14429972,0.1423066,0.503573,0.0,0.0
72.1252,0.503051,-2.47504,81.8678,3.055678,3.0,0.016007997,0.013433474,0.109377354,0.12286489,0.0,0.0,0.0,0.0,3.0,3.055678,0.0,0.0,1.15458,0.14236116,0.13972674,0.6949266,0.0,0.0
21.4413,-2.08362,-2.25961,87.5584,0.904285,1.0,0.042174913,0.0,0.013938799,0.0,1.0,0.904285,0.0,0.0,0.0,0.0,0.0,0.0,0.904285,0.013938799,0.013938799,1.0,1.0,0.904285
