event_id,m_gg
693,125.16308622580301
704,128.47734570831608
706,131.0771437787342
708,127.43362809191098
710,125.09171277749616
711,123.6794597231972
720,123.97692428991286
722,125.13487000174081
736,125.20371896130858
737,126.894471714768
738,125.06074248772201
743,123.82214230887426
744,121.57353327993744
747,124.95561645965041
749,127.43016916589251
750,122.90988996960456
756,127.80455511502203
762,120.2496491192748
764,128.01572055846975
767,127.74504188632409
769,128.79648690902425
772,122.22442727807008
773,125.01453893746975
779,124.2978541038919
781,124.60885928728003
790,124.55358355078265
793,124.08168129983024
805,131.74700712452997
814,121.12758066936762
815,128.6554424980976
826,123.45550673467658
827,122.64286382146372
832,131.65129127726624
833,126.93938489063362
836,125.86498412271843
837,125.59869933565504
839,124.29434085461828
840,127.46060017913743
841,125.44528242881417
842,123.26239039141666
845,122.22802745239595
846,129.7448597309015
866,123.13487553557
867,125.55822910691545
869,124.17245859496919
873,124.9265388484514
874,123.83058920357493
877,126.62247404950318
878,126.64896997455783
879,127.25039670139527
881,123.54263536681546
884,124.10152854138867
885,124.79277662198174
889,123.14783533496288
891,123.70422021693268
897,130.45999678592477
898,126.4765876387368
903,124.99318684705567
906,126.22166770258781
910,130.78783283386076
913,129.90673476090956
922,129.74233531135954
923,125.79028639278916
926,120.89938568811286
929,126.807708029549
939,128.37598811064993
943,125.62092237435797
945,118.83870518401349
946,126.34802944151603
951,126.64614978939456
962,128.4798386094162
965,127.75562934648416
969,127.05349897611146
970,124.90363039867175
981,124.14366014636211
988,131.11118218196034
996,127.60161891837325
999,125.8991094213787
1011,119.85728512645798
1017,124.53365614533226
1018,124.03390711027615
1021,122.65044768038395
1029,125.68318703282903
1031,127.12288902360548
1045,129.82187175889553
1046,123.03298237304485
1050,128.92051349483785
1066,126.50225448245861
1075,127.13893843636811
1078,125.80743415171507
1084,127.56465204774217
1086,125.78847427919716
1087,126.19545695270955
1091,124.55721799716652
1094,122.30824267183395
1098,126.08433847409661
1099,124.15458981474028
1101,121.84517811193402
1102,125.33460596828715
1103,121.46313888585463
1105,123.79665713681666
1106,120.86775265816247
1107,126.19757300164767
1110,124.91942223097573
1111,124.76167271347288
1117,119.94516806797328
1121,126.77167071003171
1131,127.37637696331588
1134,127.99336881073037
1135,127.09990919095726
1137,126.1864036925035
1139,123.76566991770244
1145,122.13282857343661
1146,121.30438071810234
1147,126.55281283675833
1149,131.41828374869766
1162,122.21447589225265
1169,127.01101889876301
1171,128.3890284572558
1173,125.0409447200766
1188,125.34461106082708
1190,124.89201237339788
1192,127.16669689388428
1194,131.13735122735974
1195,128.3108102450139
1205,126.89063181043112
1209,126.56610981551752
1215,127.55227445924251
1218,124.1641206406847
1220,120.80675254339542
1221,124.7945085426418
1229,126.54777594926891
1231,126.0500764693895
1240,122.49516565398851
1249,127.6613116633599
1250,124.05078717629365
1252,126.10242757354774
1255,124.51289659384727
1256,131.31832729027147
1266,125.21586944832116
1273,126.75406474901332
1276,123.29496757146057
1277,126.525550289272
1278,122.46594489041476
1279,124.94442188752765
1281,129.90537846354187
1295,128.65950500912328
1312,124.02784722776275
1315,125.56693027928266
1316,127.63930008863606
1317,124.67115572685414
1320,126.80886449505762
1323,125.76827833217774
1325,123.22744681635645
1327,124.31833396311937
1329,125.78585925491575
1330,127.23992861143249
1331,126.27032955761226
1337,123.95247747858095
1339,122.89798584263298
1345,124.90851735593277
1350,131.95378677993577
1354,124.58607354099924
1355,121.99676065264394
1361,122.73758013197121
1363,128.19667676727255
1369,123.06213074547625
1370,128.70598292959733
1377,122.49007669652852
1378,131.1837971838946
1379,131.09003658978776
1383,126.77691882354381
1386,125.26288392508027
1388,123.26783400581063
1389,127.00658896309712
1390,126.20917738963765
1397,128.16518924724005
1406,122.56371608501868
1407,131.54827329374186
1409,127.64011168933537
1412,126.99882865676996
1414,118.40272260919383
1415,125.4225727660467
1422,124.24258229225978
1425,120.22137405295868
1426,124.17977163499917
1431,124.8451622546599
1435,125.75594136864632
1437,130.09695032992005
1450,128.86931228623376
1454,126.55502866792284
1457,124.3681034032489
1464,126.06075287198385
1466,123.44768744041046
1470,121.038904950782
1472,123.80244182418673
1477,124.6489673970597
1479,125.17940947694944
1481,121.26667712001692
1482,128.10584775812694
1483,122.68064994037482
1486,122.48431319993942
1492,125.16829699023039
1496,126.12858524597449
1498,129.14435397626005
1510,126.81680973110021
1513,123.94941765621432
1515,120.67367226375329
1521,121.12066593724394
1526,125.14298413509067
1530,126.14738556863283
1531,129.0906248382005
1538,122.9415177639124
1544,124.82300755997011
1545,93.45162386235499
1546,124.08302447037306
1547,126.2473954983092
1549,134.96433951579047
1553,122.61166239384656
1554,126.14635414511683
1560,126.04588352602589
1562,126.85131367797769
1565,123.1620695180316
1568,136.22545209237254
1570,122.7049398589425
1573,128.30197850411952
1575,126.57720724999874
1576,128.89078360810473
1579,127.27354890003231
1587,126.64466178819532
1591,125.42558365554203
1593,130.49092324108256
1595,124.08452605630539
1597,123.029514788516
1604,125.02195575093714
1607,124.14869708826072
1614,125.67670633743013
1617,127.00638077044549
1618,123.92217284261716
1619,123.57844968946176
1622,123.7991377873171
1624,127.04209556951663
1639,125.90070436602727
1644,127.59630546268814
1650,126.57301636795802
1652,126.6457023493776
1657,124.93079553646035
1658,124.26242672877832
1664,124.55125862530134
1683,123.93276539468081
1684,123.27077165567056
1690,125.80554299819325
1693,127.78004770236868
1694,122.70091583360905
1697,129.57272017757717
1699,130.79976514088656
1701,126.6863939937125
1702,127.59368884803507
1709,128.57509380226722
1710,126.38468616613625
1713,129.10421783846482
1717,123.26444008320925
1721,125.98578403211862
1726,122.3272340746881
1737,125.11302948410763
1738,128.35797561638728
1750,120.3859654580936
1752,136.9972491224462
1753,133.23838237108092
1755,129.22746173947766
1757,131.44999458548367
1758,126.86046924022847
1765,128.44046839450831
1767,126.81923968252995
1768,124.75704281036319
1771,123.63172852548902
1779,128.30623156187636
1782,126.80377225581597
1784,127.681979384455
1785,125.92025752731595
1787,124.51889963469458
1794,126.76404715216576
1797,121.84794701467757
1799,125.71065653165999
1801,125.88751476270312
1811,129.41283810888166
1813,133.23137782423117
1814,125.26753956603142
1815,123.40870267251175
1826,123.43475608925282
1828,129.6010889969918
1832,126.43654984709013
1842,121.91064069306168
1847,125.09400163075416
1854,124.95018906147558
1867,127.09351006200727
1870,124.3924226165404
1871,132.4403473425515
1876,134.08665416103804
1879,125.60425576803647
1884,126.94883263414718
1886,124.71537270995559
1896,125.99390346427559
1898,125.45713009999936
1903,124.19535233588692
1910,124.06849243464086
1918,124.4466649402347
1919,124.3777652049859
1923,126.70209802216549
1926,127.25353571356494
1928,126.91800188421416
1929,122.75069818354014
1931,126.1210496283011
